game,language,product_type,name,set,number,rarity,variant,ebay_query,tags
pokemon,english,single,Gengar VMAX,Fusion Strike,271,Secret Rare,Alt Art,"Gengar VMAX 271 Fusion Strike -japanese -jp -korean -proxy -custom","pokemon,english,alt-art,modern"
pokemon,english,single,Giratina V,Lost Origin,186,Alternate Full Art,Alt Art,"Giratina V 186 Lost Origin -japanese -jp -korean -proxy -custom","pokemon,english,alt-art,modern"
pokemon,english,single,Umbreon VMAX,Evolving Skies,215,Secret Rare,Alt Art,"Umbreon VMAX 215 Evolving Skies -japanese -jp -korean -proxy -custom","pokemon,english,alt-art,modern"
pokemon,japanese,single,Gengar VMAX,Fusion Arts,020,Hyper Rare,Alt Art,"Gengar VMAX 020 Fusion Arts Japanese -english -proxy -custom","pokemon,japanese,alt-art,modern"
pokemon,japanese,single,Giratina V,Lost Abyss,111,Super Rare,Alt Art,"Giratina V 111 Lost Abyss Japanese -english -proxy -custom","pokemon,japanese,alt-art,modern"
one_piece,english,single,Roronoa Zoro,Kingdoms of Intrigue,OP04-031,Leader,Leader,"One Piece Zoro OP04-031 English -japanese -jp -proxy -custom","one-piece,english,leader,playable"
one_piece,english,single,Monkey.D.Luffy,Awakening of the New Era,OP05-119,Special Card,Signature,"One Piece Luffy OP05-119 English -japanese -jp -proxy -custom","one-piece,english,chase,modern"
one_piece,japanese,single,Monkey.D.Luffy,Awakening of the New Era,OP05-119,Special Card,Signature,"One Piece Luffy OP05-119 Japanese -english -proxy -custom","one-piece,japanese,chase,modern"
one_piece,japanese,single,Trafalgar Law,Romance Dawn,OP01-047,Leader,Leader,"One Piece Law OP01-047 Japanese -english -proxy -custom","one-piece,japanese,leader,playable"
